user_id,birthdate,gender,married,has_children,home_airport,total_sessions,total_page_clicks,avg_session_duration_sec,avg_flight_discount,avg_hotel_discount,total_cancellations,total_flights_booked,total_checked_bags,total_hotels_booked,avg_hotel_rooms,avg_hotel_nights,age,is_female,cluster,segment_name,assigned_perk
167852,2006-02-16,F,0,0,MCF,8,63,58.0,0.1,0.1,0,0,0,0,0.0,0.0,17,1,0,Cluster 0: Low Engagement / Browsers,Exclusive Discounts / High-Incentive Promo
171470,1999-09-14,F,0,0,ATL,8,446,1842.5,0.1,0.0,2,2,1,0,0.0,0.0,24,1,3,Cluster 3: High Clicks & Stornierungen,No Cancellation Fee / Flexible Booking
174997,1991-11-01,F,0,0,GRR,8,252,991.75,0.0,0.125,1,3,1,2,1.0,2.0,32,1,3,Cluster 3: High Clicks & Stornierungen,No Cancellation Fee / Flexible Booking
175032,1994-11-05,F,0,0,IAH,9,127,104.33333333333331,0.3,0.1,0,2,1,3,2.0,4.333333333333333,29,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
181157,1970-08-10,F,1,0,HOU,8,153,141.125,0.175,0.15,0,3,3,3,2.0,3.333333333333333,53,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
182191,2004-09-27,F,0,1,PHX,8,148,665.787969,0.0,0.1,1,1,1,0,0.0,0.0,19,1,0,Cluster 0: Low Engagement / Browsers,Exclusive Discounts / High-Incentive Promo
187212,1969-02-20,F,1,1,LAX,8,128,118.75,0.3999999999999999,0.1,0,3,2,3,1.0,2.0,54,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
189676,1988-01-10,F,0,1,FTW,8,93,86.375,0.15,0.0,0,1,2,2,2.0,9.0,35,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
190866,1986-09-24,F,0,0,TLH,9,186,153.88888888888889,0.0,0.05,0,5,2,5,1.0,1.8,37,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
195192,1995-09-20,F,0,0,MDW,8,225,208.375,0.1,0.1,0,1,0,1,2.0,1.0,28,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
204943,1982-12-20,M,0,0,YOW,8,292,1043.5,0.15,0.0,1,6,9,6,1.4285714285714286,6.857142857142857,41,0,3,Cluster 3: High Clicks & Stornierungen,No Cancellation Fee / Flexible Booking
204997,1985-08-26,F,1,0,MCI,8,439,1399.17795025,0.25,0.1,2,4,3,3,1.5,4.5,38,1,3,Cluster 3: High Clicks & Stornierungen,No Cancellation Fee / Flexible Booking
205044,1983-08-25,F,1,1,YKZ,9,134,110.33333333333331,0.05,0.0,0,3,1,3,2.0,4.666666666666667,40,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
206011,1984-08-04,F,0,1,MCI,8,156,146.125,0.05,0.2,0,4,1,3,1.0,2.6666666666666665,39,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
216796,2001-07-09,F,0,0,CVG,8,125,491.328442,0.1666666666666666,0.1,1,1,4,1,1.0,10.0,22,1,3,Cluster 3: High Clicks & Stornierungen,No Cancellation Fee / Flexible Booking
217114,2004-05-28,O,1,1,LGB,9,59,49.888888888888886,0.05,0.15,0,0,0,0,0.0,0.0,19,0,0,Cluster 0: Low Engagement / Browsers,Exclusive Discounts / High-Incentive Promo
217136,1985-04-18,F,0,1,LIT,8,106,99.375,0.175,0.0,0,1,0,2,1.0,2.0,38,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
220725,1983-07-28,F,0,0,SCK,9,316,948.8888888888888,0.15,0.05,1,4,1,3,1.0,3.75,40,1,3,Cluster 3: High Clicks & Stornierungen,No Cancellation Fee / Flexible Booking
224996,1981-03-07,F,0,1,YHZ,8,102,94.625,0.0,0.1,0,2,0,1,1.0,0.0,42,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
226367,1980-10-21,F,0,0,IAD,8,114,105.5,0.05,0.0,0,3,2,3,1.3333333333333333,1.6666666666666667,43,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
228195,1997-02-26,F,0,1,LAX,9,116,95.77777777777776,0.2,0.0,0,0,0,0,0.0,0.0,26,1,0,Cluster 0: Low Engagement / Browsers,Exclusive Discounts / High-Incentive Promo
228872,1989-03-22,M,0,0,RND,8,126,118.0,0.35,0.0,0,1,1,2,1.0,6.5,34,0,4,Cluster 4: Male Traveler Segment,Free Flight Upgrade / Priority Pass
229009,2006-08-27,F,0,0,SCK,8,144,264.78542925,0.0,0.0,1,3,1,2,1.0,1.5,17,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
229108,1998-05-28,F,0,0,BTV,8,321,1012.25,0.2,0.1,1,1,0,0,0.0,0.0,25,1,3,Cluster 3: High Clicks & Stornierungen,No Cancellation Fee / Flexible Booking
229330,1976-11-08,F,1,0,COS,8,129,119.625,0.0,0.1,0,4,1,4,1.75,1.5,47,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
232647,2006-04-11,F,0,0,BHM,8,100,93.875,0.1,0.0,0,1,1,1,1.0,11.0,17,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
249521,1964-07-23,F,1,1,YOW,8,151,140.625,0.2,0.1333333333333333,0,1,1,2,1.0,1.5,59,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
252835,1986-01-20,F,0,1,ORD,8,117,108.25,0.3,0.05,0,5,3,4,1.0,2.75,37,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
258451,2000-12-10,F,0,0,OPF,8,167,219.875,0.15,0.0,1,0,0,1,1.0,13.0,23,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
264470,1978-11-05,F,0,1,BFL,8,118,111.0,0.05,0.1,0,2,1,2,1.0,4.5,45,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
276512,1982-08-27,F,1,1,AUS,8,98,91.375,0.125,0.125,0,1,1,1,1.0,1.0,41,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
281952,1987-01-23,F,0,0,LOU,8,158,146.375,0.0,0.15,0,2,3,2,1.0,1.0,36,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
283325,1973-05-15,F,1,0,DAL,8,114,105.625,0.075,0.1,0,1,0,2,1.5,3.0,50,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
290123,1983-04-08,F,1,0,HOU,9,190,155.88888888888889,0.0,0.0,0,7,6,6,1.6666666666666667,2.1666666666666665,40,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
297546,1972-12-05,F,1,0,JFK,8,207,192.875,0.0,0.05,0,4,3,5,1.4,5.2,51,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
298253,1977-08-01,F,1,1,LAX,8,98,91.75,0.225,0.15,0,1,2,0,0.0,0.0,46,1,0,Cluster 0: Low Engagement / Browsers,Exclusive Discounts / High-Incentive Promo
299476,1985-05-19,F,1,0,ATL,9,187,154.11111111111111,0.2,0.125,0,1,0,1,1.0,1.0,38,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
306165,2003-04-13,F,0,0,CLE,8,89,82.5,0.0,0.0,0,0,0,0,0.0,0.0,20,1,0,Cluster 0: Low Engagement / Browsers,Exclusive Discounts / High-Incentive Promo
306819,1964-04-02,F,1,1,JFK,8,329,1061.875,0.05,0.05,1,2,1,2,1.0,1.0,59,1,3,Cluster 3: High Clicks & Stornierungen,No Cancellation Fee / Flexible Booking
312488,1993-06-27,M,1,0,JFK,8,76,71.0,0.25,0.2,0,1,1,1,1.0,0.0,30,0,4,Cluster 4: Male Traveler Segment,Free Flight Upgrade / Priority Pass
313724,1972-05-13,F,0,0,TUL,8,351,1110.375,0.0,0.0,1,4,4,5,1.3333333333333333,3.0,51,1,3,Cluster 3: High Clicks & Stornierungen,No Cancellation Fee / Flexible Booking
316527,1982-07-17,F,1,1,YWG,8,139,130.0,0.15,0.05,0,4,1,4,1.25,3.0,41,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
317688,1983-05-19,F,0,1,IND,8,133,124.0,0.2499999999999999,0.05,0,4,2,4,1.0,1.25,40,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
322867,1977-12-07,F,0,0,BFM,8,82,77.0,0.125,0.1,0,1,1,1,1.0,7.0,46,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
324191,1984-05-27,F,0,0,SAN,8,86,80.125,0.1,0.15,0,2,1,2,1.5,4.5,39,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
328590,1968-07-23,F,0,0,NZY,8,383,1085.5,0.1,0.15,1,3,1,2,2.0,4.5,55,1,3,Cluster 3: High Clicks & Stornierungen,No Cancellation Fee / Flexible Booking
330764,1985-02-06,F,0,0,DET,8,375,1061.125,0.0,0.05,1,1,2,2,1.0,4.5,38,1,3,Cluster 3: High Clicks & Stornierungen,No Cancellation Fee / Flexible Booking
330893,1980-12-16,F,1,1,OKC,8,133,124.0,0.0,0.05,0,3,2,3,1.0,2.0,43,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
331039,1979-08-02,F,1,1,YXU,8,198,610.045213,0.1,0.075,1,1,6,1,2.0,8.0,44,1,3,Cluster 3: High Clicks & Stornierungen,No Cancellation Fee / Flexible Booking
334787,1971-04-27,F,0,0,MSP,8,119,110.875,0.05,0.0,0,3,2,3,1.0,2.0,52,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
337227,1989-06-25,F,1,0,SNA,8,83,77.0,0.0,0.05,0,0,0,0,0.0,0.0,34,1,0,Cluster 0: Low Engagement / Browsers,Exclusive Discounts / High-Incentive Promo
338086,1983-12-13,F,0,1,IAD,8,137,128.5,0.3,0.2,0,2,1,2,1.0,1.0,40,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
340166,1973-05-17,M,1,1,SFO,8,88,81.625,0.1,0.1,0,0,0,1,1.0,2.0,50,0,4,Cluster 4: Male Traveler Segment,Free Flight Upgrade / Priority Pass
343928,1959-01-26,F,1,0,BIF,8,122,112.75,0.2999999999999999,0.1,0,2,1,1,1.0,3.0,64,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
347778,1974-07-20,F,0,0,LSV,9,162,133.33333333333334,0.15,0.0,0,5,5,4,1.75,2.25,49,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
348817,1995-08-07,F,0,0,YYC,8,125,116.0,0.05,0.0,0,3,2,4,1.0,2.25,28,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
348863,1957-01-13,F,1,0,SKF,8,81,74.625,0.0,0.1,0,0,0,0,0.0,0.0,66,1,0,Cluster 0: Low Engagement / Browsers,Exclusive Discounts / High-Incentive Promo
349132,1975-06-17,F,0,0,CVG,9,133,110.33333333333331,0.0,0.1,0,2,1,3,1.6666666666666667,4.666666666666667,48,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
350648,2006-03-02,F,0,0,LNK,8,295,807.18696225,0.175,0.1,1,1,0,1,1.0,3.0,17,1,3,Cluster 3: High Clicks & Stornierungen,No Cancellation Fee / Flexible Booking
353271,1997-09-05,F,0,1,MKE,8,84,78.875,0.15,0.15,0,1,0,1,2.0,0.0,26,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
353694,1984-06-17,F,0,1,LGA,8,100,92.5,0.0833333333333333,0.0,0,2,1,2,1.5,4.5,39,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
354050,1974-05-28,F,0,0,DET,8,172,159.125,0.05,0.05,0,5,1,5,1.2,2.2,49,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
354260,1974-09-27,F,0,0,PVD,8,116,107.875,0.15,0.0,0,2,2,1,1.0,2.0,49,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
354311,1978-07-12,F,1,0,DMA,8,98,92.0,0.1,0.0,0,2,1,1,1.0,3.0,45,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
354950,1970-10-19,M,1,0,AMA,8,100,94.125,0.0,0.1,0,1,1,1,1.0,6.0,53,0,4,Cluster 4: Male Traveler Segment,Free Flight Upgrade / Priority Pass
356046,1989-10-17,F,0,0,YOW,8,101,94.0,0.15,0.05,0,2,0,2,1.5,2.0,34,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
357737,1982-10-04,F,1,1,SAN,8,419,1101.125,0.0,0.0833333333333333,1,4,2,5,1.0,3.333333333333333,41,1,3,Cluster 3: High Clicks & Stornierungen,No Cancellation Fee / Flexible Booking
359072,1972-12-09,F,1,1,YUL,8,318,983.723602125,0.2,0.0,1,3,1,3,1.0,2.25,51,1,3,Cluster 3: High Clicks & Stornierungen,No Cancellation Fee / Flexible Booking
359080,1982-05-09,F,1,0,JFK,8,126,119.0,0.1,0.2,0,4,4,2,1.0,2.0,41,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
359653,1968-12-26,M,0,0,YYJ,8,127,118.0,0.25,0.075,0,2,2,2,1.0,1.5,55,0,4,Cluster 4: Male Traveler Segment,Free Flight Upgrade / Priority Pass
361459,1982-09-16,F,1,1,EFD,8,59,56.0,0.0,0.125,0,1,1,1,1.0,1.0,41,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
361759,1971-08-14,F,1,0,YWG,9,139,113.88888888888889,0.15,0.075,0,4,2,3,1.0,0.6666666666666666,52,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
363535,1993-05-15,F,0,0,CLT,8,248,851.59355875,0.1833333333333333,0.0,1,3,3,3,1.25,2.75,30,1,3,Cluster 3: High Clicks & Stornierungen,No Cancellation Fee / Flexible Booking
365825,1979-05-10,F,0,0,LAX,8,355,1042.75,0.1,0.0,1,1,1,2,1.6666666666666667,6.0,44,1,3,Cluster 3: High Clicks & Stornierungen,No Cancellation Fee / Flexible Booking
371201,1996-01-16,M,0,1,JFK,8,105,97.125,0.3999999999999999,0.05,0,1,3,0,0.0,0.0,27,0,0,Cluster 0: Low Engagement / Browsers,Exclusive Discounts / High-Incentive Promo
372970,1990-04-01,F,0,0,CLT,8,100,94.625,0.125,0.15,0,2,1,2,1.0,0.0,33,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
373489,1986-12-08,F,1,1,ICT,9,118,96.44444444444444,0.2166666666666666,0.125,0,1,3,1,2.0,12.0,37,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
374331,1981-12-01,M,0,0,MKE,8,338,1031.25,0.15,0.2,1,1,2,1,2.0,12.0,42,0,3,Cluster 3: High Clicks & Stornierungen,No Cancellation Fee / Flexible Booking
374340,1989-06-26,F,1,0,LGA,9,78,64.44444444444444,0.0,0.05,0,1,1,0,0.0,0.0,34,1,0,Cluster 0: Low Engagement / Browsers,Exclusive Discounts / High-Incentive Promo
374341,1998-07-15,F,0,0,YIP,8,105,98.125,0.1,0.0,0,0,0,3,2.0,7.333333333333333,25,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
375160,2003-11-23,F,0,0,EFD,8,41,38.0,0.05,0.1,0,0,0,0,0.0,0.0,20,1,0,Cluster 0: Low Engagement / Browsers,Exclusive Discounts / High-Incentive Promo
375729,1971-04-12,F,0,0,ATL,8,142,131.125,0.1166666666666666,0.075,0,3,1,3,1.0,2.0,52,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
375751,1974-02-09,F,1,0,CLE,8,192,176.75,0.0,0.05,0,3,1,2,1.0,3.0,49,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
376159,1982-01-24,F,0,0,LGB,8,102,95.5,0.0,0.0,0,1,1,2,1.0,3.0,41,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
377069,1956-03-06,F,1,0,LGA,8,260,956.625,0.0,0.05,1,1,2,0,0.0,0.0,67,1,3,Cluster 3: High Clicks & Stornierungen,No Cancellation Fee / Flexible Booking
377411,1986-05-24,F,1,0,YMX,8,118,110.625,0.1166666666666666,0.15,0,2,0,2,1.5,2.5,37,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
378565,1983-09-27,F,1,1,BNA,8,136,127.125,0.075,0.0,0,2,1,5,1.2,8.8,40,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
379543,1968-01-06,F,1,0,SJC,8,104,95.625,0.1,0.15,0,3,1,3,1.0,2.0,55,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
380434,1974-07-02,F,1,1,TIK,8,114,104.375,0.125,0.05,0,3,1,3,1.0,2.333333333333333,49,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
380436,1979-11-04,F,0,0,LGA,8,107,99.375,0.0,0.175,0,1,1,1,1.0,4.0,44,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
380757,1977-12-19,F,0,1,LAX,8,122,114.125,0.05,0.05,0,3,1,3,1.0,4.666666666666667,46,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
380874,1970-02-17,F,1,0,LOU,8,117,109.0,0.0,0.1833333333333333,0,3,2,3,1.0,1.3333333333333333,53,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
380949,1978-02-03,F,0,0,SAT,8,432,1115.875,0.0,0.15,1,5,1,4,1.0,1.8,45,1,3,Cluster 3: High Clicks & Stornierungen,No Cancellation Fee / Flexible Booking
381259,2002-12-04,F,0,1,SAN,8,97,91.0,0.0,0.1,0,1,1,1,1.0,1.0,21,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
381465,1990-07-19,F,0,0,SAT,8,245,418.68018,0.075,0.0,1,2,0,4,1.0,7.4,33,1,3,Cluster 3: High Clicks & Stornierungen,No Cancellation Fee / Flexible Booking
382181,1987-12-26,F,1,0,YHZ,8,106,98.125,0.175,0.0,0,3,2,2,1.0,2.0,36,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
382384,1967-06-15,F,1,0,PIE,8,75,70.125,0.0,0.0,0,1,1,1,1.0,0.0,56,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
382533,2006-04-14,F,0,0,LGB,8,70,65.25,0.2,0.05,0,0,0,0,0.0,0.0,17,1,0,Cluster 0: Low Engagement / Browsers,Exclusive Discounts / High-Incentive Promo
385689,1974-10-08,F,0,1,BNA,8,92,85.75,0.15,0.0,0,3,1,4,1.25,4.0,49,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
386255,1992-04-05,F,0,1,BFM,8,64,59.5,0.1,0.05,0,0,0,1,2.0,4.0,31,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
386469,2006-10-16,F,0,0,SCK,9,95,79.0,0.3,0.0,0,0,0,0,0.0,0.0,17,1,0,Cluster 0: Low Engagement / Browsers,Exclusive Discounts / High-Incentive Promo
386914,1977-12-08,F,1,1,YHM,8,294,987.375,0.1,0.1333333333333333,1,2,9,1,1.0,2.0,46,1,3,Cluster 3: High Clicks & Stornierungen,No Cancellation Fee / Flexible Booking
387282,1993-12-18,F,0,1,AMA,8,87,80.125,0.175,0.1,0,0,0,1,3.0,4.0,30,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
387783,1970-08-23,M,1,1,OAK,8,87,79.875,0.45,0.1,0,1,0,3,1.3333333333333333,4.666666666666667,53,0,4,Cluster 4: Male Traveler Segment,Free Flight Upgrade / Priority Pass
388328,1973-11-28,F,1,1,YYZ,9,135,110.44444444444444,0.1,0.125,0,3,3,5,1.0,4.6,50,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
388767,1979-09-13,F,1,1,TLH,8,104,97.125,0.0,0.0,0,1,1,1,1.0,10.0,44,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
388947,1983-11-06,M,0,0,LGA,9,112,92.55555555555556,0.1999999999999999,0.1,0,3,2,2,1.0,2.0,40,0,4,Cluster 4: Male Traveler Segment,Free Flight Upgrade / Priority Pass
389434,1982-05-03,F,0,0,LGA,8,444,1127.5,0.1166666666666666,0.0,1,5,3,5,1.0,1.3333333333333333,41,1,3,Cluster 3: High Clicks & Stornierungen,No Cancellation Fee / Flexible Booking
389662,1985-08-09,F,0,0,FAT,8,146,135.75,0.15,0.0,0,2,2,3,1.0,1.3333333333333333,38,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
389759,1991-06-02,F,0,1,ANC,8,156,143.875,0.1666666666666666,0.0,0,3,1,3,1.6666666666666667,1.6666666666666667,32,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
390811,1983-07-26,F,0,0,LAX,8,132,122.375,0.1,0.0,0,3,2,3,1.0,3.333333333333333,40,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
392453,1966-06-11,F,0,0,ELP,8,78,72.375,0.075,0.1,0,1,1,1,1.0,11.0,57,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
395202,1997-09-27,F,0,0,SJC,8,71,66.25,0.2,0.0,0,0,0,1,1.0,13.0,26,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
395981,1972-08-17,F,1,0,YVR,8,101,95.25,0.2,0.0,0,3,3,3,1.3333333333333333,1.0,51,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
396552,1979-01-06,F,1,0,YXU,8,109,101.375,0.0,0.1,0,4,2,4,1.0,0.75,44,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
399137,1970-08-24,F,1,0,DAL,8,155,143.25,0.1666666666666666,0.0,0,2,2,4,1.5,3.75,53,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
399218,1980-05-25,F,1,1,FTW,8,121,113.625,0.2,0.0,0,2,1,1,1.0,2.0,43,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
399799,1969-03-07,F,1,0,YTZ,8,126,116.75,0.0,0.1,0,4,2,4,1.0,2.0,54,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
400275,1968-05-27,F,1,1,LUF,8,99,92.25,0.1333333333333333,0.0,0,2,1,1,1.0,4.0,55,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
400582,1991-12-21,F,1,0,ORD,8,125,116.375,0.1,0.15,0,3,0,4,1.0,2.25,32,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
400899,1978-09-18,F,1,0,YQB,8,255,235.375,0.0,0.0,0,3,2,3,1.3333333333333333,3.333333333333333,45,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
401245,1996-01-15,F,0,0,OFF,8,120,111.875,0.15,0.15,0,3,0,2,1.0,3.0,27,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
402332,1992-01-10,F,0,0,MCC,8,137,127.125,0.1,0.05,0,2,0,2,1.5,0.5,31,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
402978,1972-08-02,F,1,0,MKE,8,115,107.0,0.15,0.0,0,4,3,4,1.0,3.0,51,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
403881,1980-04-03,F,0,0,NZY,8,133,122.375,0.275,0.0,0,4,3,4,1.5,2.5,43,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
404879,1985-06-18,F,1,0,EWR,8,127,118.0,0.0,0.0,0,4,2,3,1.3333333333333333,3.333333333333333,38,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
405305,1979-01-18,F,1,1,SFO,9,139,114.77777777777776,0.1,0.2,0,3,2,3,1.3333333333333333,1.0,44,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
406210,2002-12-02,F,0,1,ANC,8,93,86.5,0.2,0.0,0,2,1,2,1.0,6.5,21,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
